Source,Target,Symbol,Compare Length,Score,Relationship
5217,444,ATNM,1798,0.03958698506951885,2.2017233075371994e-05
5217,445,ATNX,675,0.025652078863149946,3.800307979725918e-05
5217,446,ATO,2427,0.030126475077172463,1.2413051123680455e-05
5217,447,ATOM,889,0.02851032060611892,3.207010191914389e-05
5217,448,ATOS,1831,0.05637075574040178,3.078686823615608e-05
5217,449,ATR,2427,0.06622534185158091,2.728691464836461e-05
5217,450,ATRA,1344,0.08580805343906188,6.384527785644485e-05
5217,451,ATRC,2427,0.13998566251772093,5.767847652151666e-05
5217,452,ATRI,2427,0.06696699856400702,2.7592500438404213e-05
5217,453,ATRO,2427,0.1659084280649445,6.835946768230098e-05
5217,454,ATRS,2427,0.190618457635214,7.854077364450515e-05
5217,455,ATSG,2427,0.12932149316801145,5.328450480758609e-05
5217,456,ATTO,1354,0.03564282465480027,2.6324095018316302e-05
5217,457,ATUS,669,0.01734518520760394,2.592703319522263e-05
5217,458,ATV,2427,0.01553932316531987,6.402687748380663e-06
5217,459,ATVI,2427,0.12255651348743131,5.0497121338043394e-05
5217,460,ATXI,666,0.019265989426030514,2.8927912051096867e-05
5217,461,AU,2427,0.018424381475302037,7.591422115905248e-06
5217,462,AUB,2427,0.10173810610326994,4.191928558025132e-05
5217,463,AUBN,2427,0.03159795274742207,1.3019346002234061e-05
5217,464,AUDC,2427,0.1432586837002029,5.902706374132793e-05
5217,465,AUG,1482,0.0016206461959590484,1.0935534385688585e-06
